Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-IL-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202101&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
10:12:22 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,Illinois : all sectors GWh

Jan 2021,16194.26004
Dec 2020,15991.8331
Nov 2020,14522.68036
Oct 2020,13650.12711
Sep 2020,13345.67094
Aug 2020,15647.00097
Jul 2020,17876.56943
Jun 2020,14877.20184
May 2020,13173.66742
Apr 2020,12473.58989
Mar 2020,13389.19566
Feb 2020,13763.36791
Jan 2020,14841.15931
Dec 2019,15614.99576
Nov 2019,15189.21933
Oct 2019,13929.18312
Sep 2019,14433.37309
Aug 2019,15825.33104
Jul 2019,17389.55643
Jun 2019,15003.38444
May 2019,14643.88218
Apr 2019,14361.42477
Mar 2019,15658.07544
Feb 2019,14813.10244
Jan 2019,17608.52376
Dec 2018,15803.71195
Nov 2018,15150.31912
Oct 2018,14208.57935
Sep 2018,15385.63526
Aug 2018,17432.84492
Jul 2018,17352.35944
Jun 2018,16015.8556
May 2018,15158.90498
Apr 2018,13296.70406
Mar 2018,15860.45517
Feb 2018,14656.09426
Jan 2018,17681.89266
Dec 2017,16591.13217
Nov 2017,15380.00919
Oct 2017,14835.10881
Sep 2017,14912.8703
Aug 2017,15610.81926
Jul 2017,17006.91741
Jun 2017,15683.31505
May 2017,13890.56312
Apr 2017,14500.78087
Mar 2017,14891.2735
Feb 2017,13497.88599
Jan 2017,16790.89509
Dec 2016,17114.47969
Nov 2016,13725.4192
Oct 2016,14854.77863
Sep 2016,15904.19657
Aug 2016,17666.26409
Jul 2016,18095.80744
Jun 2016,16348.54287
May 2016,13611.18216
Apr 2016,14324.34327
Mar 2016,14240.72162
Feb 2016,14347.80247
Jan 2016,17055.59295
Dec 2015,15735.08302
Nov 2015,15240.79431
Oct 2015,15635.46388
Sep 2015,15887.9532
Aug 2015,17199.92379
Jul 2015,17998.2971
Jun 2015,16614.62798
May 2015,15126.602
Apr 2015,14462.53443
Mar 2015,15988.76549
