Retail sales of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.SALES.TX-ALL.M~ELEC.SALES.TX-RES.M~ELEC.SALES.TX-COM.M~ELEC.SALES.TX-IND.M~ELEC.SALES.IL-ALL.M&columnchart=ELEC.SALES.TX-ALL.M~ELEC.SALES.TX-RES.M~ELEC.SALES.TX-COM.M~ELEC.SALES.TX-IND.M&map=ELEC.SALES.US-ALL.M&freq=M&start=200101&end=202101&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
10:09:42 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,Illinois all sectors GWh
Jan 2021,11577.01863
Dec 2020,11198.14461
Nov 2020,9686.19655
Oct 2020,9882.27235
Sep 2020,10519.9097
Aug 2020,13145.87264
Jul 2020,14088.95471
Jun 2020,11692.29295
May 2020,9601.7533
Apr 2020,9014.41346
Mar 2020,10346.62338
Feb 2020,11064.4541
Jan 2020,11538.39204
Dec 2019,11430.19388
Nov 2019,10830.32134
Oct 2019,10565.68463
Sep 2019,11794.83779
Aug 2019,13034.37085
Jul 2019,14338.88667
Jun 2019,11361.27029
May 2019,10383.72942
Apr 2019,9812.05373
Mar 2019,11325.10907
Feb 2019,11085.42435
Jan 2019,12357.59898
Dec 2018,11775.64426
Nov 2018,10955.87207
Oct 2018,10823.034
Sep 2018,11904.77789
Aug 2018,14012.49628
Jul 2018,13938.27356
Jun 2018,12894.78928
May 2018,11461.79751
Apr 2018,10261.95038
Mar 2018,11025.2868
Feb 2018,10975.7779
Jan 2018,12625.1081
Dec 2017,11987.28441
Nov 2017,10641.39203
Oct 2017,10735.31274
Sep 2017,11887.43966
Aug 2017,12576.34223
Jul 2017,13693.71827
Jun 2017,12258.14366
May 2017,10386.24527
Apr 2017,9757.39013
Mar 2017,10873.02308
Feb 2017,10310.94563
Jan 2017,12089.07291
Dec 2016,12185.98325
Nov 2016,10159.54324
Oct 2016,10672.98536
Sep 2016,12196.9464
Aug 2016,14495.18024
Jul 2016,14122.33678
Jun 2016,12540.03222
May 2016,10579.39767
Apr 2016,10127.0444
Mar 2016,10771.41848
Feb 2016,11098.34155
Jan 2016,12101.1994
Dec 2015,11122.64064
Nov 2015,10323.98153
Oct 2015,10372.54408
Sep 2015,11973.86996
Aug 2015,13106.25499
Jul 2015,13313.96627
Jun 2015,11745.52489
May 2015,10746.18528
Apr 2015,9929.05352
Mar 2015,11741.33509
Feb 2015,11732.62699
Jan 2015,12511.98677
Dec 2014,11871.20802
Nov 2014,11335.92621
Oct 2014,10611.08699
Sep 2014,11169.09973
Aug 2014,13288.04609
Jul 2014,12660.73749
Jun 2014,12223.6124
May 2014,10983.53919
Apr 2014,10210.8658
Mar 2014,11887.27332
Feb 2014,12026.58071
Jan 2014,13272.31107
Dec 2013,12456.54955
Nov 2013,10953.97129
Oct 2013,11003.07545
Sep 2013,11673.13968
Aug 2013,13339.39355
Jul 2013,13506.80719
Jun 2013,11688.13468
May 2013,10976.73369
Apr 2013,10794.88487
Mar 2013,11604.41616
Feb 2013,11454.43607
Jan 2013,12353.34584
Dec 2012,11675.40951
Nov 2012,10692.07028
Oct 2012,10921.93319
Sep 2012,11948.40171
Aug 2012,14063.90488
Jul 2012,15636.18162
Jun 2012,12880.2866
May 2012,11131.98033
Apr 2012,10101.28735
Mar 2012,10960.10775
Feb 2012,11279.1152
Jan 2012,12249.32558
Dec 2011,11722.57173
Nov 2011,10712.24353
Oct 2011,10700.21377
Sep 2011,11767.51308
Aug 2011,14172.56924
Jul 2011,14759.22035
Jun 2011,12154.9836
May 2011,10661.65689
Apr 2011,10403.39477
Mar 2011,11295.40583
Feb 2011,11594.09948
Jan 2011,12941.69478
Dec 2010,12504.70922
Nov 2010,10567.64066
Oct 2010,10746.74548
Sep 2010,11941.74849
Aug 2010,14971.82324
Jul 2010,14809.33307
