,technology,investment (M$/MW),fixed (M$/MW-year),variable (M$/MWh),SO2 (MT/MWh),NOx (MT/MWh),CO2 (MT/MWh),Hg (MT/MWh),CO2eq (MT/MWh),source,notes,notes-co2eq
0,coal_existing,3.666346832343409,0.04070326763634093,2.1369215509078985e-05,1.547720148563282e-10,1.238176118850626e-10,3.2594986328742714e-07,6.749607567884474e-15,8.2e-07,"""NREL Annual Technology Baseline 2020""",based on average capacity factor (54%),co2eq is the median value from the Fifth IPCC Assessement
1,coal_new,6.0352770087784515,0.059019738072694346,3.663294087270684e-05,8.589846824526216e-11,1.3155621262787896e-10,3.265689513468525e-08,6.749607567884472e-16,2.2e-07,"""NREL Annual Technology Baseline 2020""",with 90% CCS and average cap. factor.,co2eq is the median value from the Fifth IPCC Assessement
2,natgas_existing,0.9595795345267374,0.011193398599993755,7.123071836359662e-06,5.10747649025883e-12,3.095440297126565e-11,1.8108325738190398e-07,0.0,4.9e-07,"""NREL Annual Technology Baseline 2020""",combined cycle with average capacity factor (55%),co2eq is the median value from the Fifth IPCC Assessement
3,natgas_new,2.7128727879621226,0.027474705654530127,9.15823521817671e-06,5.10747649025883e-12,3.095440297126565e-11,1.8108325738190398e-08,0.0,1.7e-07,"""NREL Annual Technology Baseline 2020""",CC with carbon capture (90%),co2eq is the median value from the Fifth IPCC Assessement
4,nuclear_existing,0.391,0.05741254238541542,2.988149390847103e-05,0.0,0.0,0.0,0.0,1.2e-08,IEA-2020,"current LWR, investment cost refers to cost of license renewal",co2eq is the median value from the Fifth IPCC Assessement
5,nuclear_new,6.232687856814705,0.12109222121811426,9.15823521817671e-06,0.0,0.0,0.0,0.0,1.2e-08,"""NREL Annual Technology Baseline 2020""",advanced or modular,co2eq is the median value from the Fifth IPCC Assessement
6,solar_utility,1.5935329279627475,0.01933405212726194,0.0,0.0,0.0,0.0,0.0,4.8e-08,"""NREL Annual Technology Baseline 2020""","utility scale solar, photovoltaic, chicago",co2eq is the median value from the Fifth IPCC Assessement
7,solar_residential,3.1076944840346297,0.02238679719998751,0.0,0.0,0.0,0.0,0.0,4.1e-08,"""NREL Annual Technology Baseline 2020""","residential solar, photovoltaic, chicago",co2eq is the median value from the Fifth IPCC Assessement
8,wind_utility,1.878455801417134,0.0437560127090665,0.0,0.0,0.0,0.0,0.0,1.1e-08,"""NREL Annual Technology Baseline 2020""","utility scale wind turbines, assume Class 7 wind speeds",co2eq is the median value from the Fifth IPCC Assessement
9,li_battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""NREL Annual Technology Baseline 2020"", MISC",lithium ion battery,n/a
