season,hour,demand_frac
S1,H1,8.4185287899607615103e-03
S1,H2,0.00802069409308967
S1,H3,7.73885017715577553515e-03
S1,H4,7.55779510494581328872e-03
S1,H5,7.45350981566282946855e-03
S1,H6,7.49531514299930229361e-03
S1,H7,7.59762418044456280807e-03
S1,H8,7.78916858933167543382e-03
S1,H9,8.19034771238968603568e-03
S1,H10,8.72165541799322513449e-03
S1,H11,9.31893953110232708958e-03
S1,H12,9.8012969988791609488e-03
S1,H13,1.02071887224732815724e-02
S1,H14,1.04992179363400644359e-02
S1,H15,1.06554938508924071371e-02
S1,H16,1.08122258235611480581e-02
S1,H17,1.09177272678211926409e-02
S1,H18,1.09066298536555118803e-02
S1,H19,1.06738881949204559435e-02
S1,H20,1.03301723945285802569e-02
S1,H21,1.01045756462837567346e-02
S1,H22,9.74793819926060740865e-03
S1,H23,9.25524341417875533177e-03
S1,H24,8.64047707327440100977e-03
S2,H1,8.02115015120606796028e-03
S2,H2,7.64627037952700372436e-03
S2,H3,7.40273534537053135018e-03
S2,H4,7.19264457308323688911e-03
S2,H5,7.09063957438224243268e-03
S2,H6,7.11192228648081098407e-03
S2,H7,7.21757575011298859596e-03
S2,H8,7.37324358717680091585e-03
S2,H9,7.80254629407934729296e-03
S2,H10,8.3846284699751853775e-03
S2,H11,8.99255393913357160828e-03
S2,H12,0.00948494468547116
S2,H13,1.00411835681044510348e-02
S2,H14,1.04946573551760839737e-02
S2,H15,1.08468862404073867339e-02
S2,H16,1.1088140983981871479e-02
S2,H17,1.12948873300822462406e-02
S2,H18,1.14082937816931892505e-02
S2,H19,1.12736046179836794239e-02
S2,H20,0.010973670396766
S2,H21,1.07751330967607861222e-02
S2,H22,1.03543434746976668187e-02
S2,H23,9.65368618853837748283e-03
S2,H24,8.87473892573078376733e-03
S3,H1,1.07327196919357829157e-02
S3,H2,1.00743237912293646246e-02
S3,H3,9.62069798478559778942e-03
S3,H4,9.30236941953987116205e-03
S3,H5,9.16539996524837197178e-03
S3,H6,9.22362338477516856272e-03
S3,H7,9.40437441824086561847e-03
S3,H8,9.87882687866680278543e-03
S3,H9,1.0642116146144735278e-02
S3,H10,1.15268688919566396344e-02
S3,H11,1.24342725242163054666e-02
S3,H12,1.31803836026432516503e-02
S3,H13,1.38457723944677719291e-02
S3,H14,1.42867805930245294482e-02
S3,H15,1.45360923633220430473e-02
S3,H16,1.45820022137060963801e-02
S3,H17,1.45461256418827969416e-02
S3,H18,1.43679589377433553076e-02
S3,H19,1.40595116316862486782e-02
S3,H20,1.35946363917046671859e-02
S3,H21,1.31667018591513154679e-02
S3,H22,1.26962019024008266471e-02
S3,H23,1.21282575281133220973e-02
S3,H24,1.1353566807725442786e-02
S4,H1,1.06168809303707183805e-02
S4,H2,1.00045468994204873186e-02
S4,H3,0.00954970493799966
S4,H4,0.00925144292987544
S4,H5,9.03876782826189099917e-03
S4,H6,8.95424505735614890966e-03
S4,H7,8.94573197251672183605e-03
S4,H8,9.14138090445141583695e-03
S4,H9,9.76085984589188104809e-03
S4,H10,1.05575933752389931885e-02
S4,H11,1.13479420909565354574e-02
S4,H12,1.20390221566714691187e-02
S4,H13,1.26369143472691014551e-02
S4,H14,1.30806588945242465577e-02
S4,H15,1.33054955459084058022e-02
S4,H16,1.34210302687292042794e-02
S4,H17,1.34318236441506207168e-02
S4,H18,1.33618947329696112491e-02
S4,H19,1.30779225458258589742e-02
S4,H20,1.25987574848638109181e-02
S4,H21,1.21899773931991705494e-02
S4,H22,1.18046082848429541994e-02
S4,H23,1.1286374245242819167e-02
S4,H24,1.0592253792085233599e-02
