sep=,
"Sensitivity/Capacity Shortage (%)","Architecture/PV (kW)","Architecture/G1500","Architecture/100LI","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/COE ($)","Cost/Operating cost ($/yr)","Cost/Initial capital ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","PV/Capital Cost ($)","PV/Production (kWh/yr)","G1500/Capital Cost ($)","G1500/Production (kWh/yr)","G1500/O&M Cost ($)","100LI/Autonomy (hr)","100LI/Annual Throughput (kWh/yr)","100LI/Nominal Capacity (kWh)","100LI/Usable Nominal Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)"
"0","90073546.8333491","43724","3884516","50381115.7588921","CC","9.155185E+11","0.3706036","1.552571E+10","6.433863E+11","100","0","2.251839E+11","1.229621E+11","1.31172E+11","2.863055E+11","1.31172E+09","19.30691","2.53152E+10","3.884524E+08","3.107619E+08","3046183","2604487"
"0","","100507","7341569","90212373.0029175","CC","1.346186E+12","0.5450058","2.873665E+10","8.424946E+11","100","0","","","3.01521E+11","6.581215E+11","3.01521E+09","36.48923","2.561196E+10","7.341584E+08","5.873267E+08","3081892","2635018"
"0","408975982.343459","","8145190","87207374.6256929","CC","2.122968E+12","0.8597337","2.876585E+10","1.618765E+12","100","0","1.02244E+12","5.583051E+11","","","","40.48341","7.472619E+10","8.145206E+08","6.516165E+08","8955237","7688004"
"10","","54326","1384541","52173453.5354821","CC","4.151342E+11","0.1811104","7.963692E+09","2.755479E+11","100","0","","","1.62978E+11","3.557275E+11","1.62978E+09","6.881477","2.348042E+10","1.384544E+08","1.107635E+08","2825404","2415721"
"10","2011986.3072893","42923","2037132","33142850.4062494","CC","4.444164E+11","0.1926808","9.018531E+09","2.863411E+11","100","0","5.029966E+09","2.746622E+09","1.28769E+11","2.810605E+11","1.28769E+09","10.125","2.817324E+10","2.037136E+08","1.629709E+08","3390091","2898528"
"10","201946634.307601","","3454025","80236490.6491938","CC","9.958339E+11","0.4349922","1.284327E+10","7.707193E+11","100","0","5.048666E+11","2.756833E+11","","","","17.16727","6.862558E+10","3.454032E+08","2.763226E+08","8224480","7060359"
"10","468154758.101118","451562","","","CC","3.111019E+12","1.358119","3.342945E+10","2.525073E+12","100","0","1.170387E+12","6.390918E+11","1.354686E+12","2.956835E+12","1.354686E+10","","","","","",""
"12","","51558","1200846","44689890.7272479","CC","3.780791E+11","0.1674982","7.185083E+09","2.521402E+11","100","0","","","1.54674E+11","3.376026E+11","1.54674E+09","5.968472","2.224882E+10","1.200848E+08","9.606787E+07","2677205","2289010"
"12","1937253.67742669","47339","1358439","31232084.0587939","CC","3.790518E+11","0.1674056","7.287341E+09","2.513205E+11","100","0","4.843134E+09","2.644602E+09","1.42017E+11","3.099766E+11","1.42017E+09","6.751744","2.357337E+10","1.358442E+08","1.086753E+08","2836588","2425283"
"12","184412786.291613","","3466041","48951401.5815337","CC","9.364405E+11","0.4146374","1.244308E+10","7.183402E+11","100","0","4.61032E+11","2.517473E+11","","","","17.227","6.763101E+10","3.466048E+08","2.772838E+08","8104687","6958035"
"12","289726028.25","289727","","","CC","1.967579E+12","0.862397","2.134222E+10","1.593496E+12","100","0","7.243151E+11","3.955135E+11","8.69181E+11","1.897137E+12","8.69181E+09","","","","","",""
"15","","47843","1043698","28166826.2975174","CC","3.363233E+11","0.1520415","6.34907E+09","2.250379E+11","100","0","","","1.43529E+11","3.132768E+11","1.43529E+09","5.187411","2.084134E+10","1.0437E+08","8.349601E+07","2507843","2144206"
"15","2744914.26959462","46606","1025185","28614108.730622","CC","3.365936E+11","0.1518694","6.250982E+09","2.270275E+11","100","0","6.862286E+09","3.747163E+09","1.39818E+11","3.051768E+11","1.39818E+09","5.095398","2.052179E+10","1.025187E+08","8.201497E+07","2469391","2111329"
"15","154693974.968668","","3444918","62300227.6435266","CC","8.603176E+11","0.3900367","1.21948E+10","6.465693E+11","100","0","3.867349E+11","2.111773E+11","","","","17.12201","6.62221E+10","3.444925E+08","2.75594E+08","7935356","6813083"
"15","103478143.845085","237601","","","CC","1.25477E+12","0.5563386","1.616123E+10","9.714984E+11","100","0","2.586954E+11","1.412611E+11","7.12803E+11","1.555815E+12","7.12803E+09","","","","","",""
"15","","364171","","","CC","1.498884E+12","0.6925833","2.318431E+10","1.092513E+12","100","0","","","1.092513E+12","2.384598E+12","1.092513E+10","","","","","",""
"2","43650961.1033194","49465","2577598","55594183.4984604","CC","6.584348E+11","0.2695878","1.162735E+10","4.546325E+11","100","0","1.091274E+11","5.958921E+10","1.48395E+11","3.238976E+11","1.48395E+09","12.81124","2.466959E+10","2.577603E+08","2.062083E+08","2968497","2538065"
